seq_len,train_sequences,val_sequences,test_sequences,best_threshold_by_val_f1,val_f1_05,best_val_f1,test_f1_05,test_f1_best_val_thr,best_h5_path,stride,fall_ratio,val_accuracy_05,val_precision_05,val_recall_05,best_val_accuracy,best_val_precision,best_val_recall,test_accuracy_05,test_precision_05,test_recall_05,test_accuracy_best_val_thr,test_precision_best_val_thr,test_recall_best_val_thr,final_h5_path
30,1377,545,508,0.5499999999999999,0.7849829351535836,0.7876712328767124,0.7009345794392523,0.6857142857142857,/content/drive/MyDrive/Fall Detection/models_4_clean/seq30/lstm_best_seq30.h5,15,0.3,0.8844036697247707,0.7055214723926381,0.8846153846153846,0.8862385321100917,0.7098765432098766,0.8846153846153846,0.8740157480314961,0.6521739130434783,0.7575757575757576,0.8700787401574803,0.6486486486486487,0.7272727272727273,/content/drive/MyDrive/Fall Detection/models_4_clean/seq30/lstm_final_seq30.h5
35,1293,522,479,0.6499999999999999,0.7709090909090909,0.7816091954022989,0.6875,0.6594594594594595,/content/drive/MyDrive/Fall Detection/models_4_clean/seq35/lstm_best_seq35.h5,15,0.3,0.8793103448275862,0.6973684210526315,0.8617886178861789,0.8908045977011494,0.7391304347826086,0.8292682926829268,0.8747390396659708,0.66,0.717391304347826,0.8684759916492694,0.6559139784946236,0.6630434782608695,/content/drive/MyDrive/Fall Detection/models_4_clean/seq35/lstm_final_seq35.h5
40,1236,490,461,0.5999999999999999,0.7859922178988327,0.7905138339920948,0.65625,0.6451612903225806,/content/drive/MyDrive/Fall Detection/models_4_clean/seq40/lstm_best_seq40.h5,15,0.3,0.8877551020408163,0.7013888888888888,0.8938053097345132,0.8918367346938776,0.7142857142857143,0.8849557522123894,0.8568329718004338,0.6116504854368932,0.7078651685393258,0.8568329718004338,0.6185567010309279,0.6741573033707865,/content/drive/MyDrive/Fall Detection/models_4_clean/seq40/lstm_final_seq40.h5
